ID,LATITUDE,LONGTITUDE,ELEVATION,NAME,
ASN00004090,-20.7594,117.1583,10.7,ROEBOURNE AERO,94308
ASN00004092,-20.9786,117.0953,60,HARDING DAM,
ASN00004093,-20.3292,119.1878,60,STRELLEY PUMPING STATION,
ASN00004094,-20.4119,120.0103,160,NIMINGARRA MINE,
ASN00004096,-22.4272,120.8578,450,MOUNT DIVIDE,
ASN00004097,-20.6175,116.7517,48,DAMPIER PORT,
ASN00004098,-20.2906,119.28,22,DE GREY BOREFIELD,
ASN00004099,-20.7381,116.8489,18,KARRATHA TOWN,
ASN00004101,-20.3167,119.3333,-999.9,R 1 BOREHOLE,
ASN00004102,-21.2933,120.4658,220,MEENTHEENA,
ASN00004103,-21.6672,121.5756,290,NIFTY COPPER MINE,
ASN00004104,-20.3736,118.6297,9,PORT HEDLAND MILOS AWS COMPARI,
ASN00004106,-21.1756,119.7497,182.3,MARBLE BAR,95317
ASN00005000,-22.5833,115.85,-999.9,BOOLALOO,
ASN00005001,-21.8047,117.8056,360,COOLAWANYAH,
ASN00005002,-22.515,116.5825,280,DUCK CREEK,
ASN00005003,-22.8975,120.1733,425,ETHEL CREEK,
ASN00005004,-22.3761,114.1108,15,EXMOUTH GULF,
ASN00005005,-22.2792,117.6772,590,HAMERSLEY,
ASN00005006,-22.9119,116.2903,160,KOOLINE,
ASN00005007,-22.2406,114.0967,5,LEARMONTH AIRPORT,GSN     94302
ASN00005008,-21.1906,115.9797,11,MARDIE,94306
ASN00005009,-22.6331,119.4081,430,MARILLANA,
ASN00005010,-22.9742,114.4597,120,MARRILLA,
ASN00005011,-22.7,115.8,-999.9,MEILGA,
ASN00005012,-21.5906,117.0656,300,MILLSTREAM,
ASN00005013,-21.9961,115.0456,15,MINDEROO,
ASN00005014,-21.7869,117.8647,450,MOUNT FLORANCE,
ASN00005015,-22.1039,118.4703,400,MULGA DOWNS,
ASN00005016,-21.6364,115.1117,4,ONSLOW,94305
ASN00005017,-21.6689,115.1092,10.5,ONSLOW AIRPORT,95305
ASN00005018,-21.85,115.6167,150,PEEDAMULLAH,
ASN00005019,-21.6333,115.85,11,WARRAMBOO,
ASN00005020,-22.6975,113.6747,10,NINGALOO,
ASN00005021,-22.2667,115.4167,-999.9,RANGE,
ASN00005022,-21.975,116.0653,150,RED HILL,
ASN00005023,-22.6217,119.9564,410,ROY HILL,
ASN00005024,-21.8067,114.1072,12,VLAMINGH HEAD,
ASN00005025,-22.4,119.5333,-999.9,WARRIE,
ASN00005026,-22.2425,118.3358,463,WITTENOOM,94313
ASN00005027,-22.3167,118.3167,610,WITTENOOM GORGE,
ASN00005028,-22.6906,116.2328,150,WYLOO,
ASN00005029,-21.6767,116.3928,180,YALLEEN,
ASN00005030,-22.5064,114.7944,25,YANREY,
ASN00005031,-21.8875,114.0092,6,YARDIE CREEK,
ASN00005032,-21.5703,115.8786,50,YARRALOOLA,
ASN00005033,-22.2933,115.0342,150,KOORDARRIE,
ASN00005034,-22.4558,116.0508,160,MOUNT STUART,
ASN00005035,-21.6,117.6,-999.9,TAMBREY,
ASN00005036,-22.9367,115.9825,170,GLEN FLORRIE STATION,
ASN00005037,-21.7,117.45,-999.9,KANGIANGI,
ASN00005038,-21.3667,115.85,-999.9,CHINGINARRA,
ASN00005039,-22.6,114.4,-999.9,LEARMONTH ARTESIAN,
ASN00005040,-21.1594,116.1197,15,BALMORAL,
ASN00005041,-22.6,116.1,-999.9,COORARA STATION,
ASN00005042,-21.7,116.1,-999.9,DEEPDALE 1,
ASN00005043,-21.9,115.2,-999.9,DIOMENOR,
ASN00005044,-21.1,116.1,-999.9,FORTESCUE,
ASN00005045,-22.685,114.3672,30,GIRALIA,
ASN00005046,-22.7,116.1,-999.9,HARDY JUNCTION,
ASN00005047,-22.25,119.1,-999.9,KERDIADARY,
ASN00005048,-22.5403,115.4981,80,NANUTARRA,
ASN00005049,-21.6,117.6,-999.9,TABLELAND,
ASN00005050,-21.6,116.4,-999.9,MOUNT ENID,
ASN00005051,-21.9303,114.1256,13,EXMOUTH TOWN,
ASN00005052,-20.8831,116.6725,30,KARRATHA STATION,
ASN00005053,-20.6553,116.6789,50,EAST INTERCOURSE ISLAND,
ASN00005055,-22.2275,118.345,441.7,WITTENOOM AERO,
ASN00005057,-21.3417,117.0833,-999.9,HARDING RIVER,
ASN00005058,-20.8206,115.3931,62,BARROW ISLAND,
ASN00005059,-22.6125,117.625,-999.9,MOUNT LIONEL AIRSTRIP,
ASN00005060,-22.3333,114.05,7,NAVY CHARLIE,
ASN00005061,-20.7278,116.7483,6,DAMPIER SALT,
ASN00005063,-22.3,117.2833,-999.9,MOUNT BROCKMAN,
ASN00005064,-22.7825,119.6172,433,SAND HILL,
ASN00005066,-22.7817,115.3706,100,UAROO,
ASN00005067,-22.0894,115.6239,80,CANE RIVER,
ASN00005068,-22.6811,114.0394,20,BULLARA,
ASN00005069,-21.6392,116.3308,200,PANNAWONICA,
ASN00005070,-21.3567,115.8208,10,ROBE,
ASN00005071,-21.3444,115.9356,11,PINDRAL OUTCAMP,
ASN00005072,-22.6967,117.7703,746,TOM PRICE,95316
ASN00005073,-21.8836,118.2217,500,HOOLEY,
ASN00005074,-22.6344,118.1119,726,MARANDOO,
ASN00005075,-21.8222,114.1714,7,NAVY ALPHA,
ASN00005076,-22.745,117.6656,606,TOM PRICE AERO,
ASN00005078,-21.7672,114.8211,5,URALA,
ASN00005079,-21.4625,115.0194,5,THEVENARD ISLAND,
ASN00005082,-21.0544,116.2575,50,ERAMURRA POOL,
ASN00005083,-20.7692,116.8603,15,KARRATHA WATER RESOURCES,
ASN00005084,-21.4606,115.0197,5,THEVENARD ISLAND,94303
ASN00005085,-22.8853,117.4464,420,ROCKLEA,
ASN00005086,-21.2947,116.1383,55,FORTESCUE ROAD HOUSE,
ASN00005087,-21.5833,117.05,-999.9,MILLSTREAM CWS PUMPING STATION,
ASN00005088,-21.2475,116.0733,38,MULYERING,
ASN00005089,-22.9003,118.7031,720,PACKSADDLE CAMP,
ASN00005090,-21.9711,115.4325,55,MOUNT MINNIE,
ASN00005092,-22.2367,114.0869,5,LEARMONTH MILOS AWS COMPARISON,
ASN00005093,-22.3767,118.6886,460,AUSKI MUNJINA ROADHOUSE,
ASN00005094,-20.875,115.4056,6.4,BARROW ISLAND AIRPORT,95304
ASN00005095,-22.9367,116.9731,300,CHEELA PLAINS,
ASN00006000,-25.0417,115.3092,180,BIDGEMIA,
ASN00006001,-27.4231,115.8347,254,BILLABALONG,
ASN00006002,-24.685,114.8358,90,BINTHALYA,
ASN00006003,-24.6525,113.6936,4,BOOLATHANA,
ASN00006004,-24.3333,114.0242,90,BOOLOGOORO,
ASN00006005,-24.8208,113.7853,15,BRICKHOUSE,
ASN00006006,-27.855,115.6733,300,BULLARDOO,
ASN00006007,-26.2739,115.2578,218,TALISKER,
ASN00006008,-25.0481,114.0294,25,CALLAGIDDY STATION,
ASN00006009,-23.105,113.8031,6,CARDABIA,
ASN00006010,-25.6114,115.4625,250,CAREY DOWNS,
ASN00006011,-24.8878,113.67,4,CARNARVON AIRPORT,GSN     94300
ASN00006012,-26.4628,113.505,20,CARRARANG,
ASN00006013,-26.6972,114.3181,150,COBURN STATION,
